time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource

2016-03-24T14:03:31.000Z,59.160200,-140.791700,0.000000,2.500000,ml,,,,0.870000,ak,ak13067900,2016-03-24T14:37:02.973Z,"74km SW of Yakutat, Alaska",earthquake,2.000000,0.600000,,,automatic,ak,ak

2016-03-24T12:47:06.020Z,36.516800,-98.835700,7.540000,2.900000,mb_lg,,49.000000,0.074000,0.800000,us,us20005c7e,2016-03-24T13:30:02.512Z,"34km ENE of Mooreland, Oklahoma",earthquake,3.300000,2.900000,0.079000,42.000000,reviewed,us,us

2016-03-24T08:42:27.000Z,62.983800,-148.324500,61.600000,2.500000,ml,,,,0.400000,ak,ak13066994,2016-03-24T09:15:49.323Z,"55km SE of Cantwell, Alaska",earthquake,0.300000,0.700000,,,automatic,ak,ak

2016-03-24T08:37:36.710Z,39.023800,70.763500,10.000000,4.900000,mb,,43.000000,0.349000,1.000000,us,us20005c6w,2016-03-24T08:55:29.200Z,"33km E of Gharm, Tajikistan",earthquake,5.000000,1.800000,0.061000,85.000000,reviewed,us,us

2016-03-24T07:57:38.660Z,43.314000,145.390700,103.240000,4.800000,mb,,134.000000,2.097000,0.660000,us,us20005c6u,2016-03-24T08:18:29.741Z,"14km W of Nemuro, Japan",earthquake,8.700000,7.200000,0.065000,74.000000,reviewed,us,us

2016-03-24T07:07:40.000Z,60.280900,-152.513200,103.700000,3.400000,ml,,,,0.740000,ak,ak13066102,2016-03-24T15:10:24.976Z,"26km SSE of Redoubt Volcano, Alaska",earthquake,0.500000,0.500000,,,automatic,ak,ak

2016-03-24T07:01:45.100Z,19.074100,-66.101900,9.000000,3.100000,Md,9.000000,234.000000,0.759975,0.250000,pr,pr16084002,2016-03-24T15:04:17.029Z,"67km N of San Juan, Puerto Rico",earthquake,1.400000,2.300000,0.000000,9.000000,reviewed,pr,pr

2016-03-24T05:40:26.540Z,-59.751000,-26.592700,61.770000,4.900000,mb,,123.000000,7.688000,0.810000,us,us20005c6c,2016-03-24T13:42:56.409Z,"80km S of Bristol Island, South Sandwich Islands",earthquake,12.100000,9.100000,0.079000,51.000000,reviewed,us,us

2016-03-24T04:12:07.000Z,58.206400,-154.184900,92.800000,2.900000,ml,,,,0.390000,ak,ak13065218,2016-03-24T12:14:39.233Z,"75km N of Larsen Bay, Alaska",earthquake,1.700000,2.000000,,,automatic,ak,ak

2016-03-24T03:26:35.000Z,59.707000,-153.213500,110.100000,2.900000,ml,,,,0.600000,ak,ak13065209,2016-03-24T11:29:14.155Z,"78km W of Anchor Point, Alaska",earthquake,0.800000,0.600000,,,automatic,ak,ak

2016-03-24T02:14:21.472Z,41.904800,-119.605600,8.100000,3.500000,ml,7.000000,102.090000,0.148000,0.202500,nn,nn00537328,2016-03-24T10:17:05.478Z,"68km ESE of Lakeview, Oregon",earthquake,3.940000,4.600000,0.310000,6.000000,reviewed,nn,nn

2016-03-24T00:29:39.610Z,16.476200,-97.799400,10.000000,4.900000,mb,,147.000000,1.306000,1.290000,us,us20005c5e,2016-03-24T02:18:06.780Z,"14km ENE of Pinotepa de Don Luis, Mexico",earthquake,5.800000,1.900000,0.030000,346.000000,reviewed,us,us

2016-03-24T00:24:24.800Z,18.696100,-67.520300,8.000000,2.500000,Md,4.000000,302.400000,0.311715,0.680000,pr,pr16084000,2016-03-24T08:27:06.580Z,"48km NW of Aguadilla, Puerto Rico",earthquake,4.000000,3.600000,0.000000,3.000000,reviewed,pr,pr

2016-03-23T23:56:25.000Z,59.822000,-153.090300,94.200000,3.400000,ml,,,,0.580000,ak,ak13062591,2016-03-24T07:58:53.074Z,"70km W of Anchor Point, Alaska",earthquake,0.400000,0.400000,,,automatic,ak,ak

2016-03-23T23:22:05.030Z,32.256500,-115.232667,16.980000,2.900000,ml,17.000000,183.000000,0.140500,0.200000,ci,ci37539152,2016-03-24T00:40:29.978Z,"7km WNW of Alberto Oviedo Mota, B.C., MX",earthquake,0.680000,0.980000,0.155000,32.000000,reviewed,ci,ci

2016-03-23T23:00:09.700Z,18.249700,-66.388900,8.000000,2.500000,Md,12.000000,108.000000,0.249732,0.270000,pr,pr16083006,2016-03-24T07:02:52.474Z,"8km SSE of Morovis, Puerto Rico",earthquake,0.500000,1.400000,0.000000,11.000000,reviewed,pr,pr

2016-03-23T21:31:14.680Z,-3.840000,138.109900,83.000000,4.800000,mb,,59.000000,7.926000,1.030000,us,us20005c3s,2016-03-24T05:33:54.029Z,"195km E of Enarotali, Indonesia",earthquake,9.700000,7.500000,0.068000,67.000000,reviewed,us,us

2016-03-23T21:26:42.900Z,18.793500,-64.691100,36.000000,3.000000,Md,15.000000,262.800000,0.380886,0.250000,pr,pr16083005,2016-03-24T05:29:08.641Z,"42km N of Road Town, British Virgin Islands",earthquake,0.900000,2.100000,0.000000,11.000000,reviewed,pr,pr

2016-03-23T20:10:39.916Z,38.481400,-118.363200,6.300000,3.300000,ml,26.000000,45.340000,0.050000,0.187200,nn,nn00537228,2016-03-24T01:38:17.334Z,"22km ESE of Hawthorne, Nevada",earthquake,0.760000,1.200000,0.340000,7.000000,reviewed,nn,nn

2016-03-23T20:06:59.000Z,61.164700,-158.547300,40.200000,2.800000,ml,,,,0.780000,ak,ak13059872,2016-03-24T04:09:28.083Z,"132km SSE of Holy Cross, Alaska",earthquake,2.500000,15.200000,,,automatic,ak,ak

2016-03-23T20:03:59.600Z,18.955200,-66.675100,59.000000,2.600000,Md,6.000000,309.600000,0.609956,0.360000,pr,pr16083007,2016-03-24T04:06:39.724Z,"53km N of Arecibo, Puerto Rico",earthquake,3.600000,6.600000,0.000000,6.000000,reviewed,pr,pr

2016-03-23T19:48:06.000Z,60.026800,-152.956000,112.300000,2.500000,ml,,,,0.580000,ak,ak13059824,2016-03-24T03:50:44.480Z,"52km SSW of Redoubt Volcano, Alaska",earthquake,1.200000,1.100000,,,automatic,ak,ak

2016-03-23T19:04:21.270Z,4.901000,123.332000,567.060000,4.100000,mb,,151.000000,4.544000,0.530000,us,us20005c2x,2016-03-24T03:07:02.598Z,"173km SSW of Palimbang, Philippines",earthquake,14.200000,10.900000,0.092000,32.000000,reviewed,us,us

2016-03-23T18:59:37.000Z,-35.626000,-71.416000,97.100000,4.000000,mb,,,,0.660000,us,us20005c2v,2016-03-24T03:02:28.343Z,"10km SE of San Clemente, Chile",earthquake,7.800000,7.700000,0.367000,2.000000,reviewed,guc,us

2016-03-23T18:33:05.070Z,-5.967500,152.588700,10.000000,4.800000,mb,,157.000000,1.814000,1.160000,us,us20005c2r,2016-03-24T02:35:44.322Z,"173km SSW of Taron, Papua New Guinea",earthquake,5.100000,1.900000,0.074000,56.000000,reviewed,us,us

2016-03-23T18:23:30.380Z,39.922400,106.150700,10.000000,4.100000,mb,,77.000000,7.694000,0.760000,us,us20005c2q,2016-03-24T02:26:05.981Z,"63km WNW of Wuhai, China",earthquake,9.400000,1.900000,0.120000,19.000000,reviewed,us,us

2016-03-23T18:12:51.950Z,36.757500,-98.607900,5.000000,2.600000,mb_lg,,112.000000,0.095000,0.840000,us,us20005c2n,2016-03-24T02:15:27.084Z,"7km SE of Alva, Oklahoma",earthquake,1.500000,1.900000,0.208000,6.000000,reviewed,us,us

2016-03-23T17:55:41.420Z,29.628700,102.319400,10.000000,4.500000,mb,,81.000000,11.197000,0.890000,us,us20005c2m,2016-03-24T01:58:19.110Z,"43km N of Xinmian, China",earthquake,6.200000,1.900000,0.082000,43.000000,reviewed,us,us

2016-03-23T17:45:54.000Z,59.804500,-151.954600,56.900000,3.000000,ml,,,,0.500000,ak,ak13058971,2016-03-24T01:48:36.723Z,"7km WNW of Anchor Point, Alaska",earthquake,0.600000,0.700000,,,automatic,ak,ak

2016-03-23T16:29:56.000Z,54.287100,-162.833200,41.300000,4.400000,ml,,,,0.540000,ak,ak13058141,2016-03-24T00:32:30.263Z,"73km SSE of False Pass, Alaska",earthquake,0.800000,0.500000,,,reviewed,ak,ak

2016-03-23T15:13:30.640Z,36.466400,-98.740900,6.330000,2.600000,mb_lg,,70.000000,0.011000,0.280000,us,us20005c1c,2016-03-24T01:06:48.569Z,"32km NW of Fairview, Oklahoma",earthquake,0.800000,2.100000,0.154000,11.000000,reviewed,us,us

2016-03-23T14:36:11.000Z,63.218800,-149.379400,81.200000,2.500000,ml,,,,0.690000,ak,ak13058128,2016-03-23T22:38:57.323Z,"28km SW of Cantwell, Alaska",earthquake,0.300000,0.600000,,,automatic,ak,ak

