Name,longitude,latitude
Starting Line Buses,-92.100699,46.781132
Holiday Inn Hotel & Suites – Duluth,-92.102213,46.785367
Radisson Hotel Duluth – Harborview,-92.105348,46.782038
Fitger’s Inn,-92.090820,46.792761
The Edgewater Resort & Waterpark,-92.063571,46.806502
Comfort Inn – West (I-35 at 40th Ave. W),-92.147169,46.749763
"Miller Hill Mall (behind Perkins, near Sears)",-92.156610,46.804000
Duluth Spirit Mountain Inn,-92.219426,46.727382
AmericInn Hotel & Suites - Proctor,-92.218424,46.739743
Best Western Plus Spirit Mountain,-92.220123,46.725377
UMD (Kirby Circle),-92.085844,46.817499
CSS (Somers Hall),-92.104783,46.817000
Best Western Bridgeview – Superior,-92.098773,46.732832
Holiday Inn Express – Superior,-92.072144,46.723322
Barker’s Island Inn – Superior,-92.054995,46.718079
UWS (Curran-McNeill & Ostrander Hall),-92.085352,46.718098
AmericInn – Two Harbors,-91.688997,47.025118
Country Inn – Two Harbors,-91.682774,47.024131
DECC-Railroad Street Entrance,-92.100663,46.781834
